,question,question label,confidence,answer,Top 3 confidence scores
0,Where can I access my service contracts available for renewal if I am a registered Customer with Extreme?,question1,0.9996145963668823,Extreme Portal - Service contract access is located under the Support Portal drop down menu or under the Support Services section of the www.extremenetworks.com page. If you are authenticated to the Extreme Portal you will be directed to the Extreme Portal login/registration page.,"[{'name': 'question1', 'confidence': 0.9996145963668823}, {'name': 'question6', 'confidence': 8.76538033480756e-05}, {'name': 'question4', 'confidence': 5.872234396520071e-05}]"
1,What Extreme Networks service contract renewals are visible to an Extreme Networks End-User on the EasyRenew portal?,question2,0.9969248175621033,Only Extreme Networks service contract renewal quotes for existing service contracts that have reached their expiration date and neither the Extreme Networks Distributor nor Reseller have taken any action on the renewal.,"[{'name': 'question2', 'confidence': 0.9969248175621033}, {'name': 'question3', 'confidence': 0.0017781471833586693}, {'name': 'question6', 'confidence': 0.0004077463236171752}]"
2,What if I do not see my service contract renewals?,question3,0.9988062381744385,"There are a couple of reasons why this is occurring.   1) you have not logged in as an authenticated user in the Extreme Portal; 2) there are no service contract renewals pending at this time; 3) the renewal is currently being works by your Distributor or Reseller, or 4) Your renewal does not qualify for the EasyRenew program.","[{'name': 'question3', 'confidence': 0.9988062381744385}, {'name': 'question2', 'confidence': 0.0008094428339973092}, {'name': 'question13', 'confidence': 0.0001290158397750929}]"
3,How do I as an End-User purchase a support contract with Extreme Networks?,question4,0.9602155089378357,Direct purchase of Extreme Works support contracts can be done on the Extreme portal by credit card only. This option is only available for Extreme Networks service contract renewal quotes for existing service contracts that have reached their expired date and where neither the Extreme Networks Distributor nor Reseller have taken any action on the renewal.,"[{'name': 'question4', 'confidence': 0.9602155089378357}, {'name': 'question2', 'confidence': 0.03596862778067589}, {'name': 'question11', 'confidence': 0.0010977723868563771}]"
4,What if I want to still purchase the service contract renewal through my Reseller?,question5,0.9974628686904907,End-Users may still contact their Reseller to purchase the service renewal.,"[{'name': 'question5', 'confidence': 0.9974628686904907}, {'name': 'question6', 'confidence': 0.0006709187291562557}, {'name': 'question1', 'confidence': 0.0005788561538793147}]"
5,What if I want to see non-standard term or pricing options?,question6,0.9992691874504089,"Any requests for revisions outside of the 1 year (default), 3 year, or 5 year term options should be directed to your Reseller. If you are unable to contact your Reseller, send an email to the Extreme Networks Sales team for further assistance at auto-renewal-escalations@extremenetworks.com.","[{'name': 'question6', 'confidence': 0.9992691874504089}, {'name': 'question10', 'confidence': 0.00016555582988075912}, {'name': 'question1', 'confidence': 0.00014675506099592894}]"
6,What if there is an error on the quote?,question7,0.9994415640830994,Contact the Extreme Networks Sales team for correction at auto-renewal-escalations@extremenetworks.com.,"[{'name': 'question7', 'confidence': 0.9994415640830994}, {'name': 'question14', 'confidence': 0.00015955074923112988}, {'name': 'question9', 'confidence': 7.555830234196037e-05}]"
7,Which credit cards are accepted?,question8,0.9954237341880798,"American Express, MasterCard, Visa, Discover","[{'name': 'question8', 'confidence': 0.9954237341880798}, {'name': 'question15', 'confidence': 0.0015385521110147238}, {'name': 'question6', 'confidence': 0.0009875402320176363}]"
8,Who do I contact for issues with credit card payments,question9,0.9981873631477356,CREDIT&COLLECTIONS@extremenetworks.com,"[{'name': 'question9', 'confidence': 0.9981873631477356}, {'name': 'question10', 'confidence': 0.0005068234167993069}, {'name': 'question4', 'confidence': 0.0003026644990313798}]"
9,"When paying with a credit card, where do I see my payment receipt?",question10,0.9995265007019043,The payment receipt will be emailed to you once the transaction is complete.,"[{'name': 'question10', 'confidence': 0.9995265007019043}, {'name': 'question14', 'confidence': 0.00014626505435444415}, {'name': 'question1', 'confidence': 7.284410821739584e-05}]"
10,"When paying with a credit card, where do I see my invoice?",question11,0.9979836940765381,The invoice is available on the customer portal once the transaction is complete.,"[{'name': 'question11', 'confidence': 0.9979836940765381}, {'name': 'question8', 'confidence': 0.00038697721902281046}, {'name': 'question12', 'confidence': 0.0003843572048936039}]"
11,How do I cancel my service?,question12,0.9981110095977783,"Services are non-cancellable during the service term.  A customer may elect to discontinue auto-renewal at anytime by un-checking the “auto renew” box in the renewal system.  For additional information, please refer to the   Direct Customer Terms of Support, available at www.extremenetworks.com/company/legal/.","[{'name': 'question12', 'confidence': 0.9981110095977783}, {'name': 'question11', 'confidence': 0.0007899718475528061}, {'name': 'question13', 'confidence': 0.0005424647824838758}]"
12,How do I change the auto renew selection?,question13,0.9988024234771729,"If you saved your credit card and checked the “auto renew” check box, your service will renew automatically and charge the saved card on file. To change this option, un-check the “auto renew” box.","[{'name': 'question13', 'confidence': 0.9988024234771729}, {'name': 'question12', 'confidence': 0.0003761454136110842}, {'name': 'question5', 'confidence': 0.00021587796800304204}]"
13,When the renewal is accepted and ordered what is the timeframe of receipt of renewal confirmation?,question14,0.9989510774612427,"In the case of the end-user paying by credit card, it will take approximately 6-9 hours for the renewal contract activation letter (welcome letter) e-mail to go out. Please note, you will also get your receipt for paying by credit card within an hour.","[{'name': 'question14', 'confidence': 0.9989510774612427}, {'name': 'question10', 'confidence': 0.00037202745443210006}, {'name': 'question15', 'confidence': 0.0002207130310125649}]"
14,Where do I go for help with questions about EasyRenew?,question15,0.9971134662628174,auto-renewal-escalations@extremenetworks.com,"[{'name': 'question15', 'confidence': 0.9971134662628174}, {'name': 'question8', 'confidence': 0.0010516219772398472}, {'name': 'question9', 'confidence': 0.0004063581000082195}]"
